split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,22,30,0.925,7000,2079.3241428571428,775.7054443220616,9.271453394701755,2061.1524281191855,2097.4958575951,10083721
development,22,30,1.075,7000,2123.814142857143,787.5844624533345,9.413434817914748,2105.3641496432147,2142.2641360710713,10083871
development,22,30,1.2,7000,2008.7122857142858,709.606391074223,8.481418599784414,1992.0890107209002,2025.3355607076714,10083996
development,22,30,1.4,7000,1819.5171428571427,594.9895166504773,7.11148492554693,1805.5788885264712,1833.4553971878142,10084196
development,22,30,1.6,7000,1659.3314285714287,503.1788835670645,6.014137972522952,1647.5439347472288,1671.1189223956285,10084396
development,22,30,1.8,7000,1547.9781428571428,442.7424476295107,5.291784399735256,1537.6064360197108,1558.3498496945747,10084596
development,22,60,0.4,7000,1097.6762857142858,176.35395948507917,2.1078329774596516,1093.5450089930391,1101.8075624355324,10083706
development,22,60,0.6,7000,1658.7744285714286,334.3343523826533,3.996059830510338,1650.9422952235611,1666.6065619192962,10083906
development,22,60,0.8,7000,3287.0685714285714,934.4717744405843,11.169073994268627,3265.177588659142,3308.9595541980007,10084106
development,22,60,0.925,7000,6980.6531428571425,2487.4145146200763,29.730289911475392,6922.382845380716,7038.923440333569,10084231
development,22,60,1.075,7000,8164.781285714285,2927.6610591154135,34.992242562889736,8096.197750552732,8233.364820875839,10084381
development,22,60,1.2,7000,7232.165285714285,2354.775224702935,28.14494717116773,7177.002202912014,7287.328368516557,10084506
development,22,60,1.4,7000,6163.320285714286,1747.9634232871683,20.892158915829082,6122.372406679973,6204.268164748599,10084706
development,22,60,1.6,7000,5359.253857142857,1379.855440820493,16.492426996143745,5326.929294212759,5391.578420072955,10084906
development,22,60,1.8,7000,4805.924714285714,1143.3151783251956,13.665230106205277,4779.141355437099,4832.7080731343285,10085106
development,28,15,0.4,7000,339.4725714285714,105.2166168776053,1.2575791066948987,337.0077616717394,341.93738118540347,10088995
development,28,15,0.6,7000,458.21257142857144,151.7532540219816,1.8137983076666204,454.65759207032517,461.7675507868177,10089195
development,28,15,0.8,7000,584.6661428571429,205.17900379893268,2.4523581537521455,579.8596091985955,589.4726765156902,10089395
development,28,15,0.925,7000,629.7697142857143,228.2218475804195,2.7277728150327074,624.4233778102428,635.1160507611858,10089520
development,28,15,1.075,7000,634.7268571428572,229.97262606033112,2.7486986203106807,629.3395068426933,640.1142074430211,10089670
development,28,15,1.2,7000,622.1045714285714,219.76571889983134,2.626702745800187,616.9563286487105,627.2528142084323,10089795
development,28,15,1.4,7000,587.4687142857143,198.24719457520902,2.3695071867657203,582.8245655385447,592.112863032884,10089995
development,28,15,1.6,7000,573.863,190.73149942931164,2.2796774481915985,569.3949143051764,578.3310856948237,10090195
development,28,15,1.8,7000,556.0577142857143,180.12118949130266,2.1528599882734647,551.838186244941,560.2772423264876,10090395
development,28,30,0.4,7000,703.0865714285715,162.2634907348185,1.9394196637672139,699.2853787366789,706.887764120464,10089250
development,28,30,0.6,7000,1042.6054285714285,292.8437803123467,3.500152642949528,1035.7452554508548,1049.4656016920023,10089450
development,28,30,0.8,7000,1842.3947142857144,614.7391122117822,7.347537741923482,1827.9938049364955,1856.7956236349332,10089650
development,28,30,0.925,7000,2461.847,871.6106617949778,10.417739991782417,2441.428604815804,2482.265395184196,10089775
development,28,30,1.075,7000,2512.087285714286,888.2965510644566,10.617174514053087,2491.278006049165,2532.8965653794066,10089925
development,28,30,1.2,7000,2403.3444285714286,828.7337939190207,9.90526340014247,2383.9304690497665,2422.7583880930906,10090050
development,28,30,1.4,7000,2226.3588571428572,709.1601623134096,8.476085145972094,2209.746035526857,2242.9716787588573,10090250
development,28,30,1.6,7000,2081.242714285714,629.2579248793718,7.521070744662178,2066.5016865009984,2095.98374207043,10090450
development,28,30,1.8,7000,1949.8425714285713,558.7998583438055,6.678935775845227,1936.7520978528587,1962.933045004284,10090650
development,28,60,0.4,7000,1398.4641428571429,231.19481953057777,2.7633066263284856,1393.0481613912982,1403.8801243229875,10089760
development,28,60,0.6,7000,2094.728285714286,429.9299835006595,5.13864616290652,2084.6567243056943,2104.7998471228775,10089960
development,28,60,0.8,7000,4165.346,1171.5218472096449,14.002364282452437,4137.901870307983,4192.790129692016,10090160
development,28,60,0.925,7000,8449.796142857143,2899.003409175107,34.64971813204029,8381.88394324388,8517.708342470407,10090285
development,28,60,1.075,7000,9763.368857142857,3308.765697098049,39.54731422755846,9685.857545571555,9840.88016871416,10090435
development,28,60,1.2,7000,8878.525,2813.212095653552,33.6243158085069,8812.622552010525,8944.427447989474,10090560
development,28,60,1.4,7000,7826.349142857143,2226.5522138003807,26.612389061110445,7774.1898187547995,7878.508466959487,10090760
development,28,60,1.6,7000,7027.978571428572,1866.2196278835693,22.30559090547828,6984.26041659995,7071.696726257193,10090960
development,28,60,1.8,7000,6391.117428571429,1585.6500270273084,18.952142766948935,6353.971911318347,6428.26294582451,10091160
development,35,15,0.4,7000,421.6985714285714,128.15145435937941,1.5317028457814106,418.69648901582235,424.7006538413205,10096058
development,35,15,0.6,7000,555.4522857142857,178.32117913887774,2.131345749570301,551.2749248065254,559.629646622046,10096258
development,35,15,0.8,7000,693.3851428571429,236.49320578922155,2.826634454724838,687.8450411284222,698.9252445858637,10096458
development,35,15,0.925,7000,728.3791428571428,250.01058521807153,2.9881980408907354,722.5223823183238,734.2359033959618,10096583
development,35,15,1.075,7000,732.2604285714285,251.0219598427418,3.0002862797523426,726.3799755198042,738.1408816230528,10096733
development,35,15,1.2,7000,720.2461428571429,245.9070884913439,2.939151874029786,714.4855110389511,726.0067746753347,10096858
development,35,15,1.4,7000,695.3537142857143,228.61191932839483,2.7324350641614394,689.9982399698636,700.7091886015651,10097058
development,35,15,1.6,7000,676.197,219.90896924856236,2.628414914951191,671.0454014302677,681.3485985697323,10097258
development,35,15,1.8,7000,662.2711428571429,207.87694168623003,2.4846046792431955,657.4014071700066,667.1408785442792,10097458
development,35,30,0.4,7000,867.318,202.38113628085932,2.4189172407248587,862.5770093265962,872.0589906734037,10096313
