cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass,edge_count,route_count,mean_route_length,second_moment_route_length,multi_channel_probability,maximum_absolute_drift,drift_l1,drift_l2,cross_covariance_frobenius,cross_covariance_spectral,positive_cross_covariance_mass,negative_cross_covariance_mass,maximum_absolute_cross_covariance
2022-05-31-primary-uniform-N40,2022-05-31,primary,uniform,40,202607231002,202607241002,20000,20000,40000,500,80,0.0151692343749999,0.0052076346427373,3.405199776924186,-0.0025638019487517,0.0329022706987517,0.0177330363237517,0.03,True,30,930,1.9956989247311832,4.107526881720431,0.9354838709677422,1.214306433183765e-17,2.1640675362810669e-16,4.172136185094685e-17,0.11211707869021141,0.07045539732160223,0.24086021505376348,1.8709677419354844,0.06236559139784948
2022-05-31-primary-uniform-N80,2022-05-31,primary,uniform,80,202607231003,202607241003,20000,20000,40000,500,80,0.02411182421875,0.0051492006618359,3.405199776924186,0.0065777672737282,0.0416458811637717,0.0175340569450217,0.03,True,30,930,1.9956989247311832,4.107526881720431,0.9354838709677422,1.214306433183765e-17,2.1640675362810669e-16,4.172136185094685e-17,0.11211707869021141,0.07045539732160223,0.24086021505376348,1.8709677419354844,0.06236559139784948
2023-07-16-hub-hotspot-N10,2023-07-16,hub,hotspot,10,202607232110,202607242110,20000,20000,40000,500,80,-0.01568125,0.0053988966212603,3.405199776924186,-0.0340655715703526,0.0027030715703526,0.0183843215703526,0.03,True,31,930,1.844491450731536,3.5334743521946077,0.8444914507315355,0.0031793142957870627,0.08919971796227712,0.016823825626986165,0.05759410013178715,0.05655344045166712,9.697523384327487e-22,1.696592740458571,0.0020392008633870694
2023-07-16-hub-hotspot-N20,2023-07-16,hub,hotspot,20,202607232111,202607242111,20000,20000,40000,500,80,-0.02931625,0.005090250718518,3.405199776924186,-0.0466495706111858,-0.0119829293888141,0.0173333206111858,0.03,True,31,930,1.844491450731536,3.5334743521946077,0.8444914507315355,0.0031793142957870627,0.08919971796227712,0.016823825626986165,0.05759410013178715,0.05655344045166712,9.697523384327487e-22,1.696592740458571,0.0020392008633870694
2023-07-16-hub-hotspot-N40,2023-07-16,hub,hotspot,40,202607232112,202607242112,20000,20000,40000,500,80,-0.037914234375,0.0027671569717735,3.405199776924186,-0.0473369566779974,-0.0284915120720026,0.0094227223029974,0.03,True,31,930,1.844491450731536,3.5334743521946077,0.8444914507315355,0.0031793142957870627,0.08919971796227712,0.016823825626986165,0.05759410013178715,0.05655344045166712,9.697523384327487e-22,1.696592740458571,0.0020392008633870694
2023-07-16-hub-hotspot-N80,2023-07-16,hub,hotspot,80,202607232113,202607242113,20000,20000,40000,500,80,-0.02245518359375,0.0017152692926063,3.405199776924186,-0.0282960182062982,-0.0166143489812017,0.0058408346125482,0.03,True,31,930,1.844491450731536,3.5334743521946077,0.8444914507315355,0.0031793142957870627,0.08919971796227712,0.016823825626986165,0.05759410013178715,0.05655344045166712,9.697523384327487e-22,1.696592740458571,0.0020392008633870694
2023-07-16-hub-uniform-N10,2023-07-16,hub,uniform,10,202607232100,202607242100,20000,20000,40000,500,80,0.00916925,0.0058229377937465,3.405199776924186,-0.0106590164763091,0.0289975164763091,0.0198282664763091,0.03,True,31,930,1.9333333333333336,3.8000000000000007,0.9333333333333336,1.214306433183765e-17,2.198762005800603e-16,4.20759852158738e-17,0.06335879510819885,0.06222655707620029,7.335084749131074e-36,1.8666666666666671,0.002150537634408602
2023-07-16-hub-uniform-N20,2023-07-16,hub,uniform,20,202607232101,202607242101,20000,20000,40000,500,80,0.0092040625,0.0054683454393533,3.405199776924186,-0.0094167461702302,0.0278248711702302,0.0186208086702302,0.03,True,31,930,1.9333333333333336,3.8000000000000007,0.9333333333333336,1.214306433183765e-17,2.198762005800603e-16,4.20759852158738e-17,0.06335879510819885,0.06222655707620029,7.335084749131074e-36,1.8666666666666671,0.002150537634408602
2023-07-16-hub-uniform-N40,2023-07-16,hub,uniform,40,202607232102,202607242102,20000,20000,40000,500,80,0.004731046875,0.0057195642923603,3.405199776924186,-0.0147452121774491,0.0242073059274491,0.0194762590524491,0.03,True,31,930,1.9333333333333336,3.8000000000000007,0.9333333333333336,1.214306433183765e-17,2.198762005800603e-16,4.20759852158738e-17,0.06335879510819885,0.06222655707620029,7.335084749131074e-36,1.8666666666666671,0.002150537634408602
2023-07-16-hub-uniform-N80,2023-07-16,hub,uniform,80,202607232103,202607242103,20000,20000,40000,500,80,0.0018749375,0.0059700471836618,3.405199776924186,-0.018454265838032,0.022204140838032,0.020329203338032,0.03,True,31,930,1.9333333333333336,3.8000000000000007,0.9333333333333336,1.214306433183765e-17,2.198762005800603e-16,4.20759852158738e-17,0.06335879510819885,0.06222655707620029,7.335084749131074e-36,1.8666666666666671,0.002150537634408602
