split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
calibration,6,10,0.5,5000,57.65,23.08404805606961,0.3264577383536592,57.01015459035243,58.28984540964757,8266758
calibration,6,10,0.7,5000,82.3636,38.52966522123456,0.5448917510956487,81.29563179237957,83.43156820762044,8266958
calibration,6,10,0.85,5000,109.1876,57.65714244961409,0.8153951281992174,107.58945491556011,110.7857450844399,8267108
calibration,6,10,1.0,5000,121.2668,68.11542820882809,0.9632976237977559,119.37877135096339,123.15482864903662,8267258
calibration,6,10,1.15,5000,110.426,58.159352008470734,0.8224974438921021,108.81393463259523,112.03806536740477,8267408
calibration,6,10,1.3,5000,95.0402,44.037943322212605,0.6227905670529074,93.81955291866502,96.26084708133497,8267558
calibration,6,10,1.5,5000,80.0024,32.5911280959422,0.46090815366320287,79.09903661863926,80.90576338136073,8267758
calibration,6,10,1.7,5000,69.2474,24.73304950845321,0.3497781405369974,68.5618474419681,69.9329525580319,8267958
calibration,6,10,1.9,5000,60.3574,19.68238665682853,0.2783509814995815,59.811842101199446,60.90295789880055,8268158
calibration,6,20,0.3,5000,86.112,21.42236307058364,0.30295796392499924,85.51821330187741,86.70578669812258,8266728
calibration,6,20,0.5,5000,119.3798,36.98851148608702,0.5230965459561727,118.3545496094886,120.4050503905114,8266928
calibration,6,20,0.7,5000,196.1744,75.68913101331465,1.0704059560326362,194.07644287733885,198.27235712266113,8267128
calibration,6,20,0.85,5000,332.513,155.76853275986016,2.20289971619952,328.1953958946954,336.83060410530453,8267278
calibration,6,20,1.0,5000,483.9444,269.6421456040899,3.813315793006847,476.47043838402874,491.4183616159712,8267428
calibration,6,20,1.15,5000,384.2056,182.23314603151235,2.577165866316815,379.15444771983306,389.25675228016695,8267578
calibration,6,20,1.3,5000,295.1016,112.09597307163078,1.585276454053095,291.9945152445166,298.20868475548343,8267728
calibration,6,20,1.5,5000,229.2332,73.79655821351584,1.0436409348200972,227.1877013549609,231.27869864503913,8267928
calibration,6,20,1.7,5000,191.0366,54.39098947792068,0.7692047499056772,189.52898639344772,192.54421360655226,8268128
calibration,6,20,1.9,5000,162.2652,41.46977715690656,0.5864712128388723,161.11573754486628,163.4146624551337,8268328
calibration,6,40,0.3,5000,171.392,30.048755740368165,0.42495357900465053,170.55910629004947,172.22489370995052,8267068
calibration,6,40,0.5,5000,240.6416,51.424613247058275,0.7272538549378094,239.21620863670398,242.06699136329604,8267268
calibration,6,40,0.7,5000,399.3284,113.82946886916679,1.6097917867250169,396.1732660754106,402.4835339245894,8267468
calibration,6,40,0.85,5000,784.532,306.00365132286345,4.327545138364812,776.0501673873337,793.0138326126664,8267618
calibration,6,40,1.0,5000,1963.7856,1087.5083378575182,15.379690405919241,1933.641960711022,1993.929239288978,8267768
calibration,6,40,1.15,5000,1191.5828,456.93887487412826,6.462091540224948,1178.917333316358,1204.2482666836418,8267918
calibration,6,40,1.3,5000,829.5678,255.2870652820077,3.6103043002024093,822.4917335983732,836.6438664016268,8268068
calibration,6,40,1.5,5000,608.7296,150.34181792263675,2.1261543789801935,604.5624139916267,612.8967860083733,8268268
calibration,6,40,1.7,5000,483.6394,99.96941004241671,1.413780955044228,480.8684402460847,486.4103597539154,8268468
calibration,6,40,1.9,5000,400.5532,76.71280558464886,1.0848829006550091,398.42686858727285,402.67953141272716,8268668
calibration,6,80,0.3,5000,341.9218,41.81282754454013,0.5913226779465597,340.762828847983,343.08077115201706,8267748
calibration,6,80,0.5,5000,480.9412,73.6731897662784,1.041896241507576,478.8991208910175,482.98327910898246,8267948
calibration,6,80,0.7,5000,800.627,162.83552484832825,2.3028420767664692,796.1135124674543,805.1404875325456,8268148
calibration,6,80,0.85,5000,1592.145,451.8998338868619,6.390828739169489,1579.6192058398642,1604.6707941601358,8268298
calibration,6,80,1.0,5000,7877.1634,4364.8479198447585,61.728271259404494,7756.1782115036485,7998.148588496352,8268448
calibration,6,80,1.15,5000,3325.3168,1017.0022634972609,14.382583940019623,3297.1274534729373,3353.506146527063,8268598
calibration,6,80,1.3,5000,2149.2348,495.21016012345495,7.0033292467154205,2135.508526904562,2162.961073095438,8268748
calibration,6,80,1.5,5000,1484.0774,278.2404854847557,3.934914681738158,1476.3651089415553,1491.7896910584445,8268948
calibration,6,80,1.7,5000,1147.0666,179.86930132057418,2.5437360538212883,1142.0809689483344,1152.0522310516658,8269148
calibration,6,80,1.9,5000,936.2162,132.30987505914905,1.8711441974453829,932.5488247631259,939.883575236874,8269348
calibration,8,10,0.3,5000,56.1422,18.911602494283247,0.2674504473362422,55.61800675557184,56.666393244428164,8268576
calibration,8,10,0.5,5000,75.3122,29.895817151177308,0.4227907007342113,74.4835454535625,76.14085454643751,8268776
calibration,8,10,0.7,5000,104.5652,47.119713522478975,0.6663733791862468,103.25913217653871,105.8712678234613,8268976
calibration,8,10,0.85,5000,127.554,64.71081348489119,0.9151491006252889,125.76034072229021,129.3476592777098,8269126
