k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
4,28,0.725,203.63636363636363,False,6000,202.86266666666666,70.65083908253366,0.9120984105407766,0.003813895293845611,0.003813895293845611,199.04855497083946,206.67677836249385,0.02304869114069308
4,28,0.94,654.5885919752243,False,6000,657.7463333333334,387.12647649662205,4.997781321157914,-0.0048008498080198475,0.0048008498080198475,636.8471672237101,678.6454994429566,0.03544841524400977
4,28,1.0,836.3677157624948,False,6000,828.7708333333334,520.4630943894189,6.719149656285994,0.009166445202477221,0.009166445202477221,800.6734405587323,856.8682261079344,0.04458031626333692
4,28,1.06,658.7768455476752,True,66000,684.4436969696969,392.6229812656535,1.5282828818443033,-0.03750031088847638,0.03750031088847638,678.0528935796123,690.8345003597816,0.046404247030817136
4,28,1.275,312.09034837147465,False,6000,314.49316666666664,106.09460226959717,1.3696754257088315,-0.0076402877705090315,0.0076402877705090315,308.76561029740844,320.22072303592483,0.025389907896554376
4,28,1.675,164.84287011600242,False,6000,162.8835,36.350577553844765,0.4692839383035397,0.012029273167646926,0.012029273167646926,160.92110061736523,164.84589938263477,0.02437075985431081
4,28,1.875,135.1245165991897,False,6000,132.58666666666667,25.922888629832674,0.3346630531631052,0.019141064454869895,0.019141064454869895,131.18720992989432,133.98612340343902,0.03001288518445855
4,56,0.325,165.0161331061646,False,6000,165.59166666666667,23.767535558263248,0.3068375646584872,-0.0034756191062476948,0.0034756191062476948,164.30856746316164,166.8747658701717,0.011137889867981032
4,56,0.525,235.55236963813857,False,6000,235.639,42.518313468002944,0.5489090665680064,-0.00036764016933291235,0.00036764016933291235,233.34363311135328,237.93436688864674,0.01001115257815166
4,56,0.725,407.27272727272725,False,6000,406.3736666666667,101.01662948805877,1.3041190789908557,0.002212398784191002,0.002212398784191002,400.9202465373834,411.82708679595,0.015844749149508397
4,56,0.94,1726.9779226816165,False,6000,1742.0968333333333,867.1808432457756,11.19525654680331,-0.00867857076738277,0.00867857076738277,1695.281754566085,1788.9119121005815,0.034621039191494174
