k,N,p_bias,source,signed_relative_error_percent,absolute_relative_error_percent,uncertainty_aware_error_upper_percent,top20_conservative_bound
9,14,0.525,blind2,0.27560811542584013,0.27560811542584013,2.2865139470118923,False
9,14,0.725,blind2,-0.9821721853087235,0.9821721853087235,3.2472105937412343,False
9,14,0.94,blind2,0.5089372284341256,0.5089372284341256,3.3053768896987856,False
9,14,1.0,blind2,-0.6957128415383258,0.6957128415383258,3.3160966965679495,False
9,14,1.06,blind2,-1.7831204716406046,1.7831204716406046,4.304637457715965,False
9,14,1.275,blind2,-0.00568765518292698,0.00568765518292698,2.3666670526225397,False
9,14,1.675,blind2,1.6782841224665015,1.6782841224665015,3.6072387070207323,False
9,14,1.875,blind2,0.4098000644573487,0.4098000644573487,2.1958751165603196,False
9,28,0.325,blind2,-1.6563168511024031,1.6563168511024031,2.7989195357446373,False
9,28,0.525,blind2,-0.034812892212750385,0.034812892212750385,1.4775019900226671,False
9,28,0.725,blind2,-0.3837704401144026,0.3837704401144026,2.249048563722633,False
9,28,0.94,blind2,1.071675130729423,1.071675130729423,3.7072021607199135,False
9,28,1.0,blind2,-0.2747902486164493,0.2747902486164493,2.842095458645366,False
9,28,1.06,blind2,-1.3107191147781578,1.3107191147781578,3.7591469927911736,False
9,28,1.275,blind2,1.7792183409444824,1.7792183409444824,3.821991921374601,False
9,28,1.675,blind2,-0.2241696198980222,0.2241696198980222,1.7191426111562658,False
9,28,1.875,blind2,-0.25830751501445026,0.25830751501445026,1.6024519101330958,False
9,56,0.325,blind2,-1.0238374597527458,1.0238374597527458,1.8534233238531206,False
9,56,0.525,blind2,-0.7352110571882058,0.7352110571882058,1.7400118365589967,False
9,56,0.725,blind2,0.03627638250033405,0.03627638250033405,1.4387949199875738,False
9,56,0.94,blind2,-1.036059580672326,1.036059580672326,3.3797121001989616,False
9,56,1.0,blind2,0.7782131059940314,0.7782131059940314,3.566901327870453,False
9,56,1.06,blind2,-0.1133922067329861,0.1133922067329861,2.4502508495907627,False
9,56,1.275,blind2,0.7289306691520917,0.7289306691520917,2.3913563261706905,False
9,56,1.675,blind2,-0.4466637019203531,0.4466637019203531,1.585140652784267,False
9,56,1.875,blind2,-0.24673951794256466,0.24673951794256466,1.285431660165648,False
9,112,0.325,blind2,0.06519873104819567,0.06519873104819567,0.6613699898465386,False
9,112,0.525,blind2,-0.009238564399823276,0.009238564399823276,0.7317828282449312,False
9,112,0.725,blind2,0.06414081645339195,0.06414081645339195,1.0579185740159147,False
9,112,0.94,blind2,0.0968885862147222,0.0968885862147222,2.1391518710645707,False
9,112,1.0,blind2,-0.7897428576084883,0.7897428576084883,3.359054269817141,False
9,112,1.06,blind2,1.6652011139075311,1.6652011139075311,3.810205791937804,False
9,112,1.275,blind2,-0.8006382812840869,0.8006382812840869,2.030085075656307,False
9,112,1.675,blind2,0.16775778530953847,0.16775778530953847,1.0507642584433707,False
9,112,1.875,blind2,0.5948083254790687,0.5948083254790687,1.382744800205482,False
