panel,k,N,p_bias,mc_mean,formula_mean
N=56,24,56,1.875,4624.411833333334,4583.602299002398
N=56,25,56,1.875,4839.59,4813.573123170658
N=56,26,56,1.875,5079.535166666667,5043.002656828634
N=56,27,56,1.875,5312.664833333333,5271.779623834202
N=56,28,56,1.875,5503.3725,5499.805461621897
N=56,29,56,1.875,5735.891833333333,5726.9927188886695
N=56,30,56,1.875,5964.635333333334,5953.263661725672
N=56,31,56,1.875,6179.3205,6178.549063378733
N=56,32,56,1.875,6400.612666666667,6402.787154577514
N=56,33,56,1.875,6615.2553333333335,6625.922713500076
N=56,34,56,1.875,6846.086,6847.906276688372
N=56,35,56,1.875,7023.479166666667,7068.693454443394
N=56,36,56,1.875,7279.659,7288.244336312287
N=56,37,56,1.875,7490.534333333333,7506.522974184242
N=56,38,56,1.875,7713.6686666666665,7723.49693221747
N=56,39,56,1.875,7945.636166666666,7939.136894324324
N=56,40,56,1.875,8138.602666666667,8153.41632125561
N=56,41,56,1.875,8363.556,8366.311150462796
N=56,42,56,1.875,8510.831166666667,8577.799532897006
N=56,43,56,1.875,8754.663166666667,8787.86160174397
N=56,44,56,1.875,8913.464,8996.47926881294
N=56,45,56,1.875,9165.869166666667,9203.636044910847
N=56,46,56,1.875,9412.961166666666,9409.316881055825
N=56,47,56,1.875,9554.691833333334,9613.508027829706
N=56,48,56,1.875,9834.008166666667,9816.196910548397
N=56,49,56,1.875,9951.5985,10017.372018252388
N=56,50,56,1.875,10204.828,10217.022804795144
N=112,3,112,0.325,248.6365,248.88888888888866
N=112,4,112,0.325,331.75,331.85185185185185
N=112,5,112,0.325,414.519,414.8148148148148
N=112,6,112,0.325,498.3545,497.77777777777777
N=112,7,112,0.325,581.7501666666667,580.7407407407406
N=112,8,112,0.325,664.542,663.7037037037037
N=112,9,112,0.325,746.1801666666667,746.6666666666666
N=112,10,112,0.325,830.0088333333333,829.6296296296296
N=112,11,112,0.325,911.4806666666667,912.1908261257639
N=112,12,112,0.325,996.4723333333334,993.9802598563682
N=112,13,112,0.325,1075.9151666666667,1075.6683805012087
N=112,14,112,0.325,1158.8688333333334,1157.2648091812239
N=112,15,112,0.325,1243.5435,1238.7777656792023
N=112,16,112,0.325,1327.2556666666667,1320.2143511982722
N=112,17,112,0.325,1408.2458333333334,1401.5807631157468
N=112,18,112,0.325,1489.9355,1482.8824602017933
N=112,19,112,0.325,1576.1348333333333,1564.1242912924
N=112,20,112,0.325,1657.996,1645.3105966620942
N=112,21,112,0.325,1743.3421666666666,1726.4452887577545
N=112,22,112,0.325,1826.286,1807.5319171510607
N=112,23,112,0.325,1911.3213333333333,1888.5737212932597
N=112,24,112,0.325,1991.6893333333333,1969.573673745783
N=112,25,112,0.325,2077.286833333333,2050.534515902632
N=112,26,112,0.325,2152.679166666667,2131.4587877400036
N=112,27,112,0.325,2240.484,2212.3488527739787
N=112,28,112,0.325,2317.1976666666665,2293.2069191426376
N=112,29,112,0.325,2403.4615,2374.0350575299185
N=112,30,112,0.325,2495.9241666666667,2454.835216497266
N=112,31,112,0.325,2572.724833333333,2535.609235673287
N=112,32,112,0.325,2649.3848333333335,2616.3588571620776
N=112,33,112,0.325,2731.933666666667,2697.085735461218
N=112,34,112,0.325,2828.5436666666665,2777.7914461257164
N=112,35,112,0.325,2902.7071666666666,2858.477493371025
N=112,36,112,0.325,2992.329166666667,2939.145316773892
N=112,37,112,0.325,3057.0706666666665,3019.796297202301
N=112,38,112,0.325,3152.8056666666666,3100.431762083623
N=112,39,112,0.325,3240.5126666666665,3181.0529901021587
N=112,40,112,0.325,3313.3575,3261.6612154026193
N=112,41,112,0.325,3406.610833333333,3342.257631364151
N=112,42,112,0.325,3484.170833333333,3422.843393999641
N=112,43,112,0.325,3574.3983333333335,3503.419625026879
N=112,44,112,0.325,3653.348,3583.9874146513976
N=112,45,112,0.325,3735.3938333333335,3664.54782409514
N=112,46,112,0.325,3816.083666666667,3745.101887900378
N=112,47,112,0.325,3896.418833333333,3825.650616034289
N=112,48,112,0.325,3997.5288333333333,3906.194995816238
N=112,49,112,0.325,4069.489,3986.735993686964
N=112,50,112,0.325,4147.025833333333,4067.2745568363916
N=112,3,112,0.94,2795.81,2797.686238464736
N=112,4,112,0.94,3737.837666666667,3733.33333333333
