k,N,p_bias,absolute_relative_error_percent
15,14,0.725,0.6975326399760117
16,14,0.725,0.527822724126101
17,14,0.725,0.971574541117721
18,14,0.725,0.8154735876359391
19,14,0.725,0.3518709813694604
20,14,0.725,1.78564723764831
21,14,0.725,0.5032036844230675
22,14,0.725,0.7111355296808617
23,14,0.725,1.1240252388338372
24,14,0.725,0.6946410071978253
25,14,0.725,1.468984186778226
26,14,0.725,0.7414801046561073
27,14,0.725,0.18626915101605188
28,14,0.725,0.3909704568515343
29,14,0.725,2.101452815222925
30,14,0.725,1.4329411553025098
31,14,0.725,0.6603931982471534
32,14,0.725,0.6992531215327853
33,14,0.725,0.15116170240288873
34,14,0.725,0.41901274163367186
35,14,0.725,1.1405613488646404
36,14,0.725,0.36205775747093305
37,14,0.725,0.09181839556514507
38,14,0.725,0.182589380555023
39,14,0.725,0.7743255365362657
40,14,0.725,0.5417041587571703
41,14,0.725,0.08699830237179107
42,14,0.725,0.24702877445090576
43,14,0.725,0.1319401294735848
44,14,0.725,1.4172411192494159
45,14,0.725,0.4839993125912613
46,14,0.725,0.11396298571718559
47,14,0.725,0.32282022696125245
48,14,0.725,0.6715070585083703
49,14,0.725,0.007687096159660586
50,14,0.725,0.8184545009527558
3,14,0.94,0.7984371238073048
4,14,0.94,0.929786418560786
5,14,0.94,1.402456619300194
6,14,0.94,1.7388023938386756
7,14,0.94,0.11001613759693551
8,14,0.94,1.1547895964716526
9,14,0.94,0.5089372284341256
10,14,0.94,0.3233424783780745
11,14,0.94,0.98948209479341
12,14,0.94,0.5708002227035779
13,14,0.94,0.13550777827767385
14,14,0.94,0.582102218951051
15,14,0.94,0.4122419149282026
16,14,0.94,0.1907840613906485
17,14,0.94,0.31356171937423877
18,14,0.94,0.9642018347933968
19,14,0.94,0.9715817247029638
20,14,0.94,0.5716292102038878
21,14,0.94,0.19550702305835355
22,14,0.94,0.40465945189229124
23,14,0.94,0.2166549363066599
24,14,0.94,0.6890918555528968
25,14,0.94,0.22358042575919726
26,14,0.94,0.8719964670236887
27,14,0.94,0.6682136146885267
28,14,0.94,1.0765396508224014
29,14,0.94,0.003832988402947909
30,14,0.94,0.24097377524361402
31,14,0.94,0.27513583220819376
32,14,0.94,0.8412297180318842
33,14,0.94,0.6766907605178848
34,14,0.94,0.6904161436046121
35,14,0.94,0.05295745520682134
36,14,0.94,0.4438923143629596
37,14,0.94,0.2440052575456349
38,14,0.94,0.3840527429991639
39,14,0.94,0.2529688813413142
40,14,0.94,0.011797944891771956
41,14,0.94,0.3300129469508775
42,14,0.94,0.6206903304596536
43,14,0.94,0.2652240620190842
44,14,0.94,0.03372976746294413
45,14,0.94,0.5150160743953158
46,14,0.94,0.5625977727793756
47,14,0.94,0.8423597697036921
48,14,0.94,0.3704196936213399
49,14,0.94,0.013693103210039087
50,14,0.94,0.40627135231314937
3,14,1.0,0.1487664509364855
4,14,1.0,0.46663616725135204
5,14,1.0,0.5604753262258027
6,14,1.0,0.6207414022777962
7,14,1.0,0.938507799744894
8,14,1.0,0.5308477505357971
9,14,1.0,0.6957128415383258
10,14,1.0,0.8002893652145678
11,14,1.0,0.374272926504031
12,14,1.0,0.5627810194693776
13,14,1.0,0.1303018900991988
14,14,1.0,0.8242755589357059
15,14,1.0,0.2638742151935367
16,14,1.0,0.25793748005046957
17,14,1.0,1.1637001009051287
18,14,1.0,0.15823277855254328
19,14,1.0,0.37932545242401444
20,14,1.0,0.3764899661834422
21,14,1.0,0.635986595420674
22,14,1.0,1.4709537102550347
23,14,1.0,0.5034265307147393
24,14,1.0,0.22439165428983407
25,14,1.0,0.6597393526703947
26,14,1.0,0.536095824528998
27,14,1.0,0.4814208758762907
28,14,1.0,0.29302291810648756
29,14,1.0,0.3672025000446043
30,14,1.0,0.4768397162186892
31,14,1.0,0.2591291802490052
32,14,1.0,0.6367613284322938
33,14,1.0,0.4989520758546401
34,14,1.0,0.9014421120368462
35,14,1.0,0.306378856190994
36,14,1.0,0.5480234276476456
37,14,1.0,0.6440336509095996
38,14,1.0,0.5926932408153471
39,14,1.0,0.4625441671963169
