k,N,p_bias,absolute_relative_error_percent
44,28,0.525,0.5600440799076318
45,28,0.525,0.18339591007778347
46,28,0.525,0.7578803585048388
47,28,0.525,0.14050679504892513
48,28,0.525,1.0408314532740648
49,28,0.525,1.4002778493254886
50,28,0.525,0.16513414806381554
3,28,0.725,0.4579945779355981
4,28,0.725,0.3813895293845611
5,28,0.725,0.662279668803272
6,28,0.725,0.2589412274690077
7,28,0.725,0.09346826407842124
8,28,0.725,0.019901647510650468
9,28,0.725,0.3837704401144026
10,28,0.725,0.2530147422718655
11,28,0.725,0.22260713662116846
12,28,0.725,0.5075434359521932
13,28,0.725,0.09652402195955836
14,28,0.725,0.17612836128442771
15,28,0.725,0.5650673754561111
16,28,0.725,0.5533290259157629
17,28,0.725,0.691479132189171
18,28,0.725,1.0794545114982372
19,28,0.725,1.3620482149747826
20,28,0.725,1.6565266771721647
21,28,0.725,1.5674020421502621
22,28,0.725,1.1556688802697332
23,28,0.725,1.306576538364798
24,28,0.725,1.758173643673951
25,28,0.725,2.176281158841199
26,28,0.725,1.5334590717693317
27,28,0.725,1.4373910659939881
28,28,0.725,1.950303220743618
29,28,0.725,0.7890811830761889
30,28,0.725,0.7549935270423707
31,28,0.725,2.0364856840328334
32,28,0.725,1.7035949680924967
33,28,0.725,2.3838503914309683
34,28,0.725,1.7622916377470081
35,28,0.725,2.2242127381971146
36,28,0.725,1.9606930431607925
37,28,0.725,1.8744564320118438
38,28,0.725,1.7028230817919643
39,28,0.725,2.4846213964069688
40,28,0.725,1.6501866685844044
41,28,0.725,2.5284798903763304
42,28,0.725,2.1183585319943767
43,28,0.725,2.15540474520649
44,28,0.725,1.8949900988821144
45,28,0.725,2.246230565649247
46,28,0.725,2.4276076127811703
47,28,0.725,2.585312613642249
48,28,0.725,2.190495303832278
49,28,0.725,2.8449018837989564
50,28,0.725,2.834152267271563
3,28,0.94,0.010742468939626387
4,28,0.94,0.48008498080198475
5,28,0.94,0.09227598032452212
6,28,0.94,0.1674870986237027
7,28,0.94,1.0707157317862679
8,28,0.94,0.02629131502080965
9,28,0.94,1.071675130729423
10,28,0.94,0.4753463897130705
11,28,0.94,0.6758025885039645
12,28,0.94,1.2993432418058657
13,28,0.94,0.7646034360555077
14,28,0.94,0.7795777295851805
15,28,0.94,1.2157719757377794
16,28,0.94,1.3343580009330271
17,28,0.94,1.5145598282275254
18,28,0.94,1.0800208479237285
19,28,0.94,1.5762697008282152
20,28,0.94,0.6089527901835945
21,28,0.94,1.4094089367074454
22,28,0.94,1.7259862254240008
23,28,0.94,1.2317630250158806
24,28,0.94,1.1859544782284386
25,28,0.94,1.248955759862593
26,28,0.94,0.5635606731359569
27,28,0.94,0.4932661092713823
28,28,0.94,1.7214539923692647
29,28,0.94,0.9472366570794191
30,28,0.94,0.9690620195876118
31,28,0.94,1.8199932742302933
32,28,0.94,1.3901166753353704
33,28,0.94,1.99305505142692
34,28,0.94,0.864114097610492
35,28,0.94,1.6244099506046863
36,28,0.94,1.1175519400522567
37,28,0.94,1.0577691864088152
38,28,0.94,1.4255669541007205
39,28,0.94,1.9828007899210311
40,28,0.94,1.3115109857141343
41,28,0.94,1.5429404691952067
42,28,0.94,1.1497870897237563
43,28,0.94,1.4806928606754015
44,28,0.94,1.666083625552112
45,28,0.94,1.0821277127585522
46,28,0.94,1.0891703752507924
47,28,0.94,1.0195250988526303
48,28,0.94,1.0205948006357404
49,28,0.94,0.9300924999361561
50,28,0.94,1.218954796520684
3,28,1.0,0.3015635593673053
4,28,1.0,0.9166445202477221
5,28,1.0,0.21822348699287977
